guard_budget_per_hour,noise_pct,congestion,capacity,carbon_kg,avg_jct_h,tail_jct_h,preemptions,jobs_completed,carbon_per_completed_job,tradeoff_score
4,15.0,high,6,55.74407100282652,1.3465573416057843,6.031597222222221,184.83333333333334,196.91666666666666,0.28308457555392225,0.7084736819746671
4,15.0,high,8,68.46991557359526,1.2774956083109343,5.839236111111107,214.91666666666666,201.25,0.34022318297438636,0.7151321531090056
4,15.0,moderate,6,46.381019259061596,1.2873556477957406,5.895833333333332,127.41666666666667,128.66666666666666,0.3604742429460746,0.731226804885941
4,15.0,moderate,8,53.56212803756088,1.2769774035709995,5.622222222222221,116.25,132.08333333333334,0.4055176886124483,0.7541015745958688
4,20.0,high,6,55.573590115817204,1.3553555970800806,6.065624999999998,196.66666666666666,196.83333333333334,0.28233830710830077,0.7115452230970127
4,20.0,high,8,68.28269183844989,1.2717016230529088,5.778124999999997,224.25,201.25,0.3392928787003721,0.7122563764413867
4,20.0,moderate,6,46.29865689815953,1.28284137413587,5.983680555555552,135.66666666666666,128.91666666666666,0.35913631724493494,0.7286183400013089
4,20.0,moderate,8,53.341044627919864,1.2817196721558053,5.647569444444443,121.5,131.83333333333334,0.4046096937642467,0.7554536851208701
8,15.0,high,6,55.537278576950065,1.3883400240279375,6.1604166666666655,189.75,196.75,0.2822733345715378,0.7247000103540977
8,15.0,high,8,68.31591341812828,1.2941026477240822,5.862499999999996,224.25,201.16666666666666,0.33959857540080335,0.7214002043301149
8,15.0,moderate,6,46.35160792948407,1.2903695742360781,5.9277777777777745,131.5,128.41666666666666,0.36094697933407455,0.732716017294876
8,15.0,moderate,8,53.50286207524681,1.2843676540401698,5.63472222222222,114.83333333333333,131.58333333333334,0.4066081981652702,0.7577119805152301
8,20.0,high,6,55.37479406222973,1.3978547532572476,6.202430555555554,199.91666666666666,196.91666666666666,0.28120928004517853,0.7278674693300062
8,20.0,high,8,68.15629515603855,1.2805597618765387,5.773611111111106,227.58333333333334,201.25,0.33866482065112324,0.7154227971412894
8,20.0,moderate,6,46.21784234179163,1.2839775875890929,5.993749999999998,132.83333333333334,128.58333333333334,0.35943882573007097,0.7292543304736798
8,20.0,moderate,8,53.316504219021446,1.283954830757953,5.660763888888887,116.75,131.58333333333334,0.4051919256670407,0.7566970877034056
12,15.0,high,6,55.537278576950065,1.3883400240279375,6.1604166666666655,189.75,196.75,0.2822733345715378,0.7247000103540977
12,15.0,high,8,68.31591341812828,1.2941026477240822,5.862499999999996,224.25,201.16666666666666,0.33959857540080335,0.7214002043301149
12,15.0,moderate,6,46.35160792948407,1.2903695742360781,5.9277777777777745,131.5,128.41666666666666,0.36094697933407455,0.732716017294876
12,15.0,moderate,8,53.50286207524681,1.2843676540401698,5.63472222222222,114.83333333333333,131.58333333333334,0.4066081981652702,0.7577119805152301
12,20.0,high,6,55.37479406222973,1.3978547532572476,6.202430555555554,199.91666666666666,196.91666666666666,0.28120928004517853,0.7278674693300062
12,20.0,high,8,68.15629515603855,1.2805597618765387,5.773611111111106,227.58333333333334,201.25,0.33866482065112324,0.7154227971412894
12,20.0,moderate,6,46.21784234179163,1.2839775875890929,5.993749999999998,132.83333333333334,128.58333333333334,0.35943882573007097,0.7292543304736798
12,20.0,moderate,8,53.316504219021446,1.283954830757953,5.660763888888887,116.75,131.58333333333334,0.4051919256670407,0.7566970877034056
