jobs_total,jobs_completed,carbon_kg,avg_jct_h,tail_jct_h,preemptions,avg_wait_h,starvation_penalty,policy,seed,noise_pct,congestion,capacity,dataset_track
160,91,52.31598077730414,3.9597069597069594,9.875,0,4.244791666666666,0.3456851378699202,fcfs,0,10.0,moderate,6,v1_clean
160,100,50.91246918772791,3.6125,9.416666666666666,117,3.945833333333333,0.3793533764213189,carbon,0,10.0,moderate,6,v1_clean
160,138,53.77449917579901,1.1853864734299515,5.554166666666672,41,1.2171875,0.4304154637540809,srtf,0,10.0,moderate,6,v1_clean
160,132,51.012978676510535,2.0467171717171713,6.69583333333333,318,2.19375,0.3832254604324267,q_v1,0,10.0,moderate,6,v1_clean
160,136,52.86693267456504,2.1636029411764706,6.770833333333333,126,2.1552083333333334,0.39255804669843175,q_v2,0,10.0,moderate,6,v1_clean
160,133,54.68115016938751,1.9981203007518793,7.866666666666665,210,2.0708333333333333,0.34806303483475853,q_double_v2,0,10.0,moderate,6,v1_clean
160,110,62.66772323897743,3.584090909090909,9.054166666666665,0,3.130208333333333,0.3233231561589347,fcfs,0,10.0,moderate,8,v1_clean
160,120,61.842743182987185,2.8881944444444447,7.674999999999999,151,2.8729166666666663,0.34284907694675293,carbon,0,10.0,moderate,8,v1_clean
160,141,64.50348801836549,1.2003546099290778,6.75,34,0.8333333333333333,0.3759411044566907,srtf,0,10.0,moderate,8,v1_clean
160,137,63.10768274163904,1.8984184914841848,7.666666666666666,311,1.5776041666666667,0.3247849532996125,q_v1,0,10.0,moderate,8,v1_clean
160,139,63.4211883387142,2.199640287769784,7.033333333333331,157,1.7869791666666663,0.32585292747218586,q_v2,0,10.0,moderate,8,v1_clean
160,134,65.30789647037254,1.70273631840796,6.762499999999996,234,1.5421875,0.33871169613594954,q_double_v2,0,10.0,moderate,8,v1_clean
250,99,54.07941138702861,4.1313131313131315,10.424999999999999,0,5.622,0.4301928560429124,fcfs,0,10.0,high,6,v1_clean
250,111,52.08457690777893,3.774774774774775,10.25,154,5.421333333333333,0.4849614160680682,carbon,0,10.0,high,6,v1_clean
250,210,56.878544813169086,1.1305555555555553,5.545833333333332,68,1.679,0.5378697606916196,srtf,0,10.0,high,6,v1_clean
250,198,53.96130371829501,2.466329966329966,8.087499999999986,389,3.0556666666666663,0.42994104228079544,q_v1,0,10.0,high,6,v1_clean
250,203,55.50316085089302,2.211822660098522,7.058333333333327,251,2.7846666666666664,0.46167587744244404,q_v2,0,10.0,high,6,v1_clean
250,196,55.44309072164944,2.6156462585034013,8.083333333333332,329,3.203,0.4298685048402089,q_double_v2,0,10.0,high,6,v1_clean
250,126,69.81410492220355,3.5773809523809526,10.375,0,4.478333333333333,0.3461302483239176,fcfs,0,10.0,high,8,v1_clean
250,149,68.42645094232208,3.435123042505593,9.383333333333333,153,4.022333333333333,0.43103956044451164,carbon,0,10.0,high,8,v1_clean
