dirty_quantile,noise_pct,congestion,capacity,carbon_kg,avg_jct_h,tail_jct_h,preemptions,jobs_completed,carbon_per_completed_job,tradeoff_score
0.6,15.0,high,6,54.481588086113284,3.581591386032495,10.624305555555553,267.25,157.91666666666666,0.34500214091470155,1.639637838961819
0.6,15.0,high,8,68.49188223983586,2.605043498245394,8.134374999999999,282.0,198.5,0.34504726569186833,1.2490457587132786
0.6,15.0,moderate,6,46.65428670388735,2.2076288817885934,7.128124999999996,158.83333333333334,131.75,0.3541122330465833,1.0955188925433874
0.6,15.0,moderate,8,55.910018758480085,1.760907076179625,5.823263888888888,156.5,140.0,0.3993572768462863,0.9439771965796219
0.6,20.0,high,6,54.329423547448386,3.4133177238743095,10.403819444444443,307.3333333333333,155.75,0.34882454926130585,1.5746218191065073
0.6,20.0,high,8,68.20062516162662,2.562737194027452,7.93923611111111,324.5833333333333,199.5,0.3418577702337174,1.2302095397512114
0.6,20.0,moderate,6,46.27844975908986,2.2102026628961275,7.107638888888887,188.5,132.83333333333334,0.34839485389528124,1.09311797749562
0.6,20.0,moderate,8,55.690834249678716,1.685306235986278,5.633333333333332,178.83333333333334,142.0,0.3921889735892867,0.9094358785480833
0.7,15.0,high,6,54.42104841109793,2.7690489997837724,9.279513888888886,298.25,189.33333333333334,0.2874351148473482,1.280080668821918
0.7,15.0,high,8,68.73288987575903,2.2511389467251663,7.5215277777777745,319.75,204.75,0.33569176984497695,1.1018706405970526
0.7,15.0,moderate,6,46.9357447141009,1.9283232723986343,6.63333333333333,168.5,133.08333333333334,0.3526793591541708,0.9829369244519562
0.7,15.0,moderate,8,56.076761601456695,1.655524326128419,5.672916666666665,167.75,139.58333333333334,0.40174396371192855,0.9032561086785248
0.7,20.0,high,6,54.28645522730839,2.6955865573652993,9.135763888888887,338.0,186.91666666666666,0.29043132533557764,1.2524934181474663
0.7,20.0,high,8,68.4729502179403,2.2032780360327884,7.456944444444441,352.8333333333333,205.66666666666666,0.33293168663504197,1.0810702263941405
0.7,20.0,moderate,6,46.679110694224015,1.9134128711769491,6.785763888888887,200.0,133.25,0.35031227537879184,0.9755525136980548
0.7,20.0,moderate,8,55.913134357597954,1.603598885851933,5.617708333333333,186.16666666666666,141.66666666666666,0.3946809484065738,0.8782481233847175
0.8,15.0,high,6,55.15698800333188,2.288806643113359,8.012152777777773,306.1666666666667,197.0,0.2799847106768116,1.0835134836514306
0.8,15.0,high,8,69.91829580169434,2.009398577589996,7.114236111111109,337.5,205.75,0.33982160778466264,1.007652395706796
0.8,15.0,moderate,6,47.39256610892841,1.7777535812578706,6.343402777777776,195.25,133.0,0.35633508352577753,0.9249024826186147
0.8,15.0,moderate,8,56.297941450771674,1.5564684270164635,5.687499999999997,170.75,141.91666666666666,0.39669717992322967,0.8606056787605232
0.8,20.0,high,6,55.10435355892179,2.3181028708949447,8.070486111111109,327.9166666666667,196.91666666666666,0.2798359046580878,1.0951426911528306
0.8,20.0,high,8,69.894488625603,1.9876658746272275,7.015277777777776,360.9166666666667,203.58333333333334,0.3433212703672681,1.001059112071252
0.8,20.0,moderate,6,47.294383323110544,1.7732586295875452,6.537499999999998,210.75,133.58333333333334,0.35404404234393416,0.9217298772413786
0.8,20.0,moderate,8,56.02511880966703,1.5319835763600294,5.633680555555554,172.58333333333334,140.75,0.3980470252907071,0.851621645718436
0.9,15.0,high,6,56.407110827982216,2.2016727516783217,7.396180555555554,319.0,196.16666666666666,0.2875468691316001,1.0531972221502888
0.9,15.0,high,8,71.09561385589215,1.9238897608116494,6.72847222222222,368.5833333333333,204.33333333333334,0.34793938265526336,0.9783195339178178
0.9,15.0,moderate,6,47.91537959040043,1.7967909711111962,6.5874999999999995,198.83333333333334,132.66666666666666,0.3611712029427168,0.9354191102101086
0.9,15.0,moderate,8,56.58054443553629,1.5331344144085344,5.75972222222222,166.33333333333334,140.58333333333334,0.4024697885159665,0.8547356388729938
0.9,20.0,high,6,56.356731230010304,2.146485171998396,7.102777777777774,327.0833333333333,196.66666666666666,0.2865596503220863,1.0305298589926104
0.9,20.0,high,8,71.00712268981759,1.8961953007672447,6.764930555555552,367.25,204.16666666666666,0.34778998868482086,0.9671521135177905
0.9,20.0,moderate,6,47.7722628484502,1.7458216086785638,6.365624999999998,203.91666666666666,132.83333333333334,0.3596406237022599,0.9141130176927814
0.9,20.0,moderate,8,56.460468242340845,1.5017040489857985,5.62361111111111,182.58333333333334,142.0,0.39760893128409047,0.8392469783647737
