dataset_track,policy,noise_pct,congestion,capacity,n,overall_score_mean,overall_score_std,carbon_per_completed_job_mean,carbon_per_completed_job_std,avg_jct_mean,avg_jct_std,tail_jct_mean,tail_jct_std,jobs_completed_mean,overall_score_ci95,carbon_per_completed_job_ci95,avg_jct_ci95,tail_jct_ci95
v1_clean,carbon,10.0,high,6,12,0.8120036412207567,0.05545690173942171,0.4313366554654164,0.06764410477214518,4.178953839154487,1.124221101166005,12.297569444444441,2.912334151395664,129.75,0.03137769600472419,0.03827325525730348,0.6360879682791136,1.6478081681528585
v1_clean,carbon,10.0,high,8,12,0.7246873168646185,0.06624556467411703,0.4244723856306259,0.06790045967334189,3.6790791058941648,1.1187134850253013,9.95347222222222,2.8851822508067615,169.58333333333334,0.03748195670527583,0.03841830169709321,0.6329717410909137,1.632445534181126
v1_clean,carbon,10.0,moderate,6,12,0.702066520502341,0.09830524340049371,0.419231131352515,0.07876070334573025,3.05786979472405,1.189563321322725,8.14097222222222,2.6638087392225156,122.58333333333333,0.055621427565226186,0.04456306301265719,0.6730588097081049,1.507191678806601
v1_clean,carbon,10.0,moderate,8,12,0.6602861993472228,0.13608545334236863,0.4284160572353424,0.06879406169276643,2.1611031576003947,0.8884124172559108,6.509027777777775,1.5696989044633367,142.5,0.07699759365760861,0.038923904636227094,0.5026666452890242,0.8881407633377968
v1_clean,carbon,20.0,high,6,12,0.8135407954829464,0.03809997484481994,0.4280849715705269,0.06960854472352163,3.973251513124025,1.0615339028140063,11.882638888888886,2.8262119915852857,130.5,0.02155709011811927,0.039384741793342844,0.600619346852709,1.599079969046139
v1_clean,carbon,20.0,high,8,12,0.7252062989810866,0.06387737002484482,0.4192819095469007,0.06621672167643926,3.5123429109112183,1.0691446591300457,9.80972222222222,2.841660742314389,170.33333333333334,0.0361420244433901,0.0374656372430518,0.6049255376163549,1.6078209226303881
v1_clean,carbon,20.0,moderate,6,12,0.7074670425854501,0.08070208394863036,0.4158313555216288,0.07508699407200957,2.8534266877082586,1.0547679386797544,7.97847222222222,2.365446517347406,122.0,0.045661502494067405,0.042484466315312275,0.596791142262756,1.3383773598733042
v1_clean,carbon,20.0,moderate,8,12,0.6340782748899871,0.12255026996857867,0.42222658578595973,0.06669932072502283,2.1057244016527474,0.8540555924642639,6.317013888888887,1.7558555160445017,142.83333333333334,0.06933934272850781,0.03773869335984997,0.4832274416879051,0.9934687817494547
v1_clean,fcfs,10.0,high,6,12,0.7564102618668631,0.04811293392255641,0.47470517995867373,0.0746509928900976,4.569889510790298,1.0424207660521145,10.720138888888888,1.9449492941292863,123.25,0.02722245504465681,0.04223777542356328,0.5898050716912634,1.1004586585552019
v1_clean,fcfs,10.0,high,8,12,0.75331278472661,0.06134883202017049,0.47826791451203904,0.07676484101328732,3.7778242566248834,1.1109919662556973,9.263541666666667,1.8091379694623917,155.0,0.034711369387688276,0.04343379759085385,0.6286028805695336,1.0236161677968791
v1_clean,fcfs,10.0,moderate,6,12,0.7553827274070706,0.06752184884894068,0.4554104039279323,0.09494831479262573,3.187891049119907,1.1050394670302832,8.035416666666666,2.169863972485582,113.75,0.03820408245693478,0.05372206640253133,0.6252349370799927,1.2277161176470333
v1_clean,fcfs,10.0,moderate,8,12,0.6810474936153689,0.11633644159476897,0.45990245743650426,0.10007934139443148,2.3433597946097455,0.8718668663174309,6.092708333333332,1.635426076020026,134.91666666666666,0.06582353835387698,0.056625218000507564,0.4933051185665665,0.9253294115252976
v1_clean,fcfs,20.0,high,6,12,0.7678099666003161,0.03714350990487537,0.4737970007225905,0.07353132999413016,4.569889510790298,1.0424207660521145,10.720138888888888,1.9449492941292863,123.25,0.021015919133382778,0.04160426650266261,0.5898050716912634,1.1004586585552019
v1_clean,fcfs,20.0,high,8,12,0.7622148344170242,0.05374136884215013,0.47754130074010454,0.07564755891079998,3.7778242566248834,1.1109919662556973,9.263541666666667,1.8091379694623917,155.0,0.03040704189228166,0.04280163573067468,0.6286028805695336,1.0236161677968791
v1_clean,fcfs,20.0,moderate,6,12,0.769971948014517,0.05113646419377643,0.4541638415020682,0.09355074464422845,3.187891049119907,1.1050394670302832,8.035416666666666,2.169863972485582,113.75,0.028933178340328835,0.05293131665117053,0.6252349370799927,1.2277161176470333
v1_clean,fcfs,20.0,moderate,8,12,0.6945418042473309,0.12110793675713175,0.4584881710486928,0.09765674533163181,2.3433597946097455,0.8718668663174309,6.092708333333332,1.635426076020026,134.91666666666666,0.0685232658899756,0.05525450524129235,0.4933051185665665,0.9253294115252976
v1_clean,q_double_v2,10.0,high,6,12,0.27302225662288804,0.08524855346008821,0.2825546286398764,0.014159771641843906,1.997681076294661,0.6678628539395096,7.093749999999997,1.8824301434447708,207.58333333333334,0.04823390978244397,0.008011645009700565,0.37787898253365304,1.0650851190475343
v1_clean,q_double_v2,10.0,high,8,12,0.27197991503131264,0.07392121647738861,0.3421429388573613,0.023609425623358438,1.6564878150386726,0.48806176225189735,6.417361111111109,1.4216632399570293,218.58333333333334,0.04182486554740402,0.013358290074277275,0.27614693802095014,0.8043817012004627
v1_clean,q_double_v2,10.0,moderate,6,12,0.2994959875508696,0.0681743317188783,0.3618137191139164,0.037051911694344644,1.5343608037898246,0.4809921309630504,6.046527777777777,1.4791979652400722,142.91666666666666,0.038573259394322885,0.02096409256690572,0.2721469175638167,0.8369350365477803
v1_clean,q_double_v2,10.0,moderate,8,12,0.39166717200946816,0.13878541299623004,0.41756073922827946,0.05311655441435075,1.398499017748678,0.3907458947774276,5.593749999999999,1.2894586455116919,146.58333333333334,0.07852523964190747,0.030053519849759795,0.22108530258379924,0.7295799101731641
v1_clean,q_double_v2,20.0,high,6,12,0.23565588156544,0.08946167993518254,0.28209814201671857,0.012485065446719271,1.781983839176636,0.4875121262860818,6.448611111111108,1.4980841440632091,208.5,0.05061771049287911,0.0070640907785831965,0.27583595219758666,0.8476208981667319
v1_clean,q_double_v2,20.0,high,8,12,0.266086203393509,0.06768811166703578,0.3419093396729662,0.024916052709373714,1.6019757866721795,0.35663324561260495,6.338888888888886,1.2112299832775646,218.33333333333334,0.038298154502062545,0.014097583944121823,0.20178425434927924,0.685317877757931
v1_clean,q_double_v2,20.0,moderate,6,12,0.3037260547850062,0.0887209848330972,0.3615592273839627,0.03816729591844545,1.4751698069531607,0.3783012360262199,6.101041666666667,1.513124531925962,142.5,0.05019862278663423,0.021595180601299495,0.2140440740454161,0.856130798708383
v1_clean,q_double_v2,20.0,moderate,8,12,0.37623659981906865,0.1380510363594588,0.41396318382706715,0.05539857534284559,1.3269917680702894,0.3890220572692531,5.536805555555554,1.2587983704875412,147.25,0.07810972694395955,0.031344694739175394,0.22010994969540318,0.7122322264953153
v1_clean,q_v1,10.0,high,6,12,0.25776605871903524,0.07913086026166934,0.27451808229162206,0.01366358999539501,1.9189622718734405,0.4806829656790832,7.174652777777774,1.2997067199450696,209.16666666666666,0.04477249900381582,0.007730903814699227,0.2719719908370926,0.7353783041352945
v1_clean,q_v1,10.0,high,8,12,0.29805916992182335,0.07858915976470962,0.33511165258284853,0.022923802172494793,1.7981573943276674,0.5766398088822577,6.786458333333331,0.9658338317383083,216.75,0.04446600309463078,0.012970362088036806,0.32626468590595337,0.5464719342916288
v1_clean,q_v1,10.0,moderate,6,12,0.29837155398239124,0.05821730951301532,0.35351413788693864,0.0323388963969878,1.5716185144783044,0.4876585514691687,6.369444444444444,1.8368237549460231,143.08333333333334,0.03293954373245846,0.018297453129294403,0.2759188000440806,1.039280875584546
v1_clean,q_v1,10.0,moderate,8,12,0.3966262674052792,0.09838383266980823,0.4061572332018002,0.04848056936479055,1.4026684811875565,0.4137302654656079,6.099652777777776,1.5526629315735256,149.33333333333334,0.05566589363030446,0.02743046437776359,0.2340899345356948,0.8785017542746341
v1_clean,q_v1,20.0,high,6,12,0.2459257448147387,0.07663838400788665,0.2738419450703325,0.012951865638378994,1.8953158982868652,0.5611034119475279,7.092361111111109,1.3513914842127324,208.66666666666666,0.04336224780446704,0.0073282078505694575,0.3174741418125003,0.7646217124469731
v1_clean,q_v1,20.0,high,8,12,0.28170227117075025,0.06598447410743533,0.33426279835309997,0.024051973121166696,1.6473520398768542,0.3653655029352047,6.790624999999998,1.3385929936509886,218.0,0.0373342308104984,0.013608684892926291,0.20672499404279857,0.7573802847153505
v1_clean,q_v1,20.0,moderate,6,12,0.2689472650197786,0.043690232708395366,0.3520784750997273,0.033490805755549996,1.4578704554426263,0.4065502161103497,6.149305555555554,1.6633630452701442,143.33333333333334,0.02472007626284647,0.018949207203977372,0.23002743917620272,0.9411362399078576
